,last_price,total_area,rooms,ceiling_height,floors_total,living_area,floor,is_apartment,studio,open_plan,kitchen_area,balcony,airports_nearest,cityCenters_nearest,parks_around3000,parks_nearest,ponds_around3000,ponds_nearest,days_exposition,price_for_m2,fromcenter_category_в пределах города,fromcenter_category_область,fromcenter_category_самый центр,fromcenter_category_центр
11289,3720000.0,35.74,1,2.67,12.0,16.61,10,False,False,False,10.49,2,26136.0,22265.0,0.0,5000.0,0.0,5000.0,35,104085,False,True,False,False
11290,3499000.0,38.0,2,2.55,5.0,23.0,1,False,False,False,7.5,0,17921.0,13746.0,0.0,5000.0,0.0,5000.0,457,92078,True,False,False,False
11291,9290000.0,104.3,4,3.0,5.0,75.4,3,False,False,False,8.4,0,14408.0,8328.0,0.0,5000.0,0.0,5000.0,0,89069,True,False,False,False
11293,3750000.0,42.0,1,2.68,16.0,20.0,13,False,False,False,11.0,0,19201.0,20913.0,0.0,5000.0,2.0,435.0,10,89285,False,True,False,False
11294,6200000.0,55.6,2,2.54,14.0,34.0,2,False,False,False,7.6,5,6989.0,13205.0,1.0,535.0,0.0,5000.0,0,111510,True,False,False,False
11295,5250000.0,42.97,1,2.68,19.0,20.0,7,False,False,False,12.0,2,18881.0,17734.0,0.0,5000.0,2.0,210.0,172,122178,False,True,False,False
11296,5500000.0,55.0,2,2.6,6.0,30.8,1,False,False,False,5.0,2,55893.0,32823.0,0.0,5000.0,1.0,468.0,0,100000,False,True,False,False
11297,2600000.0,30.5,1,2.55,9.0,17.8,1,False,False,False,6.2,0,14852.0,16447.0,0.0,5000.0,1.0,237.0,58,85245,True,False,False,False
11298,14500000.0,107.0,3,3.19,9.0,56.4,3,False,False,False,14.0,2,32863.0,4964.0,1.0,681.0,0.0,5000.0,90,135514,False,False,False,True
11299,5300000.0,39.0,1,2.75,12.0,19.0,7,False,False,False,8.0,2,37634.0,12572.0,0.0,5000.0,0.0,5000.0,27,135897,True,False,False,False
11304,5100000.0,57.8,3,3.0,6.0,37.2,5,False,False,False,8.0,0,19417.0,3826.0,1.0,561.0,1.0,48.0,43,88235,False,False,False,True
11305,16650000.0,97.7,3,3.0,11.0,56.4,10,False,False,False,17.0,1,17787.0,16825.0,1.0,875.0,2.0,24.0,0,170419,True,False,False,False
11308,8999000.0,80.0,3,2.75,5.0,56.0,1,False,False,False,9.0,0,39119.0,10822.0,0.0,5000.0,0.0,5000.0,81,112487,True,False,False,False
11310,21161062.0,169.2,4,3.3,16.0,111.86,4,False,False,False,15.07,0,37434.0,8460.0,1.0,441.0,2.0,427.0,0,125065,True,False,False,False
11311,5790000.0,50.6,2,2.5,5.0,30.1,3,False,False,False,6.7,1,14466.0,26619.0,0.0,5000.0,0.0,5000.0,881,114426,False,True,False,False
11312,6200000.0,65.2,3,2.75,9.0,42.7,6,False,False,False,10.0,0,27853.0,11676.0,2.0,300.0,1.0,953.0,240,95092,True,False,False,False
11313,3247000.0,37.0,1,2.75,25.0,35.0,8,False,False,False,16.0,0,18053.0,16077.0,0.0,5000.0,0.0,5000.0,155,87756,True,False,False,False
11314,8000000.0,51.0,2,3.0,7.0,19.0,5,False,False,False,21.0,0,11518.0,10052.0,0.0,5000.0,2.0,794.0,127,156862,True,False,False,False
11315,25835000.0,141.2,4,2.75,10.0,93.1,3,False,False,False,17.0,0,26609.0,5457.0,0.0,5000.0,2.0,356.0,378,182967,True,False,False,False
11316,2600000.0,30.0,1,2.5,9.0,17.0,5,False,False,False,6.0,0,25508.0,31294.0,1.0,61.0,0.0,5000.0,52,86666,False,True,False,False
11317,4050000.0,40.4,1,2.55,10.0,10.7,8,False,False,False,18.6,1,14017.0,15096.0,0.0,5000.0,0.0,5000.0,235,100247,True,False,False,False
11318,9390000.0,107.4,4,2.6,16.0,67.8,5,False,False,False,13.5,5,33623.0,14722.0,0.0,5000.0,1.0,506.0,96,87430,True,False,False,False
11319,26450000.0,284.0,4,3.19,6.0,130.3,5,False,False,False,35.0,0,18748.0,4341.0,0.0,5000.0,0.0,5000.0,145,93133,False,False,False,True
11322,3990000.0,35.1,1,2.7,9.0,18.3,4,False,False,False,7.0,0,13608.0,16199.0,0.0,5000.0,0.0,5000.0,15,113675,True,False,False,False
11323,5970000.0,66.0,2,2.7,10.0,37.0,9,False,False,False,11.0,2,12005.0,17791.0,0.0,5000.0,0.0,5000.0,145,90454,False,True,False,False
11324,6900000.0,47.0,1,3.19,19.0,12.5,5,False,False,False,20.2,2,19499.0,4844.0,0.0,5000.0,1.0,503.0,180,146808,False,False,False,True
11325,5400000.0,57.2,2,2.6,10.0,30.0,1,False,False,False,11.0,0,29493.0,10708.0,1.0,672.0,0.0,5000.0,0,94405,True,False,False,False
11326,6800000.0,74.8,3,2.5,9.0,45.0,4,False,False,False,17.0,0,43713.0,16217.0,1.0,325.0,0.0,5000.0,108,90909,True,False,False,False
11327,7700000.0,64.0,2,2.75,25.0,33.0,8,False,False,False,10.0,0,36413.0,11001.0,0.0,5000.0,0.0,5000.0,23,120312,True,False,False,False
11329,95000000.0,190.0,5,3.0,7.0,130.0,6,False,False,False,25.0,0,21179.0,1032.0,3.0,238.0,3.0,31.0,18,500000,False,False,True,False
11332,9830000.0,79.0,3,3.0,7.0,54.0,7,False,False,False,9.5,0,11477.0,8381.0,1.0,234.0,3.0,491.0,316,124430,True,False,False,False
11335,15786435.0,135.0,4,2.75,21.0,78.0,20,False,False,False,13.0,0,17950.0,16952.0,1.0,679.0,3.0,361.0,170,116936,True,False,False,False
11336,72375000.0,169.3,4,3.0,8.0,95.4,4,False,False,False,22.5,0,26398.0,6737.0,3.0,251.0,2.0,599.0,571,427495,True,False,False,False
11337,17850000.0,171.0,3,2.55,11.0,80.0,10,False,False,False,45.0,0,31118.0,7257.0,1.0,241.0,1.0,230.0,0,104385,True,False,False,False
